Time [s],ID,Message,Signal Name,Signal Value
0.000000,0x22,Active_Fault_Latched_2,CarCfgNotConfiguredError,0.81
0.000000,0x22,Active_Fault_Latched_2,ModuleNotConfiguredError,0.32
0.000000,0x22,Active_Fault_Latched_2,VINSignalCompareFailure,0.73
0.000000,0x22,Active_Fault_Latched_2,IPMA_PCAN_MissingMsg,0.15
0.000000,0x22,Active_Fault_Latched_2,IPMA_PCAN_DataRangeCheck,0.3
0.000000,0x21,Active_Fault_Latched_1,ApplicationFlashChecksumFault,0.53
0.000000,0x21,Active_Fault_Latched_1,ProgramCalibrationFlashChecksum,0.96
0.000000,0x21,Active_Fault_Latched_1,KeepAliveChecksumFault,0.95
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte0_bit3,0.67
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte0_bit4,0.45
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte0_bit5,0.95
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte0_bit6,0.88
0.000000,0x21,Active_Fault_Latched_1,USCValidationFault,0.26
0.000000,0x21,Active_Fault_Latched_1,RAMMemoryTestFault,0.95
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte1_bit1,0.1
0.000000,0x21,Active_Fault_Latched_1,PLLLockFault,0.25
0.000000,0x21,Active_Fault_Latched_1,WatchdogFault,0.91
0.000000,0x21,Active_Fault_Latched_1,StackOverflowFault,0.34
0.000000,0x21,Active_Fault_Latched_1,InstructionSetCheckFault,0.01
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte1_bit6,0.67
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte1_bit7,0.81
0.000000,0x21,Active_Fault_Latched_1,PCANBusOff,0.93
0.000000,0x21,Active_Fault_Latched_1,PCANMissingMsgFault,0.0
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte2_bit2,0.44
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte2_bit3,0.08
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte2_bit4,0.88
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte2_bit5,0.76
0.000000,0x21,Active_Fault_Latched_1,Active_Flt_Latched_byte2_bit6,0.67
0.000000,0x21,Active_Fault_Latched_1,TransmitterIDFault,0.21
0.000000,0x21,Active_Fault_Latched_1,v_5_SupplyOutOfRange,0.21
